Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2010,7,Chris McCoy,212,DE,,0,0,0,,,,,,,,,,,,,,,,Middle Tenn. St.
2010,7,Austin Spitler,252,LB,2013,0,0,0,5,55,0,0,0,0,0,,,0,,,0,,,Ohio St.
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2009,1,Vontae Davis,25,DB,2018,0,2,8,45,121,0,0,0,0,0,,,0,,,0,22,2.0,Illinois
2009,2,Pat White,44,QB,2009,0,0,0,1,13,0,5,0,0,0,21,81,0,,,0,,,West Virginia
2009,2,Sean Smith,61,DB,2017,0,0,8,38,137,0,0,0,0,0,,,0,,,0,14,,Utah
2009,3,Patrick Turner,87,WR,2012,0,0,0,1,24,0,0,0,0,0,,,0,10,122,1,,,USC
2009,4,Brian Hartline,108,WR,2015,0,0,5,32,104,0,0,0,0,0,7,65,1,344,4766,14,,,Ohio St.
2009,5,John Nalbone,161,TE,2010,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Monmouth
2009,5,Chris Clemons,165,DB,2015,0,0,3,20,80,0,0,0,0,0,1,3,0,,,0,4,1.5,Clemson
2009,6,Andrew Gardner,181,T,2016,0,0,0,7,28,0,0,0,0,0,,,0,0,0,0,,,Georgia Tech
2009,7,J.D. Folsom,214,LB,2009,0,0,0,0,2,0,0,0,0,0,,,0,,,0,,,Weber St.
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2008,1,Jake Long,1,T,2016,1,4,6,54,104,0,0,0,0,0,,,0,,,0,,,Michigan
2008,2,Phillip Merling,32,DE,2013,0,0,0,6,53,0,0,0,0,0,,,0,,,0,1,3.5,Clemson
2008,2,Chad Henne,57,QB,2022,0,0,3,26,78,1200,2015,13290,60,63,143,351,4,1,-6,0,,,Michigan
2008,3,Kendall Langford,66,DE,2017,0,0,8,43,136,0,0,0,0,0,,,0,,,0,,22.5,Hampton
2008,4,Shawn Murphy,110,T,2009,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Utah St.
2008,6,Jalen Parmele,176,RB,2014,0,0,0,1,36,0,0,0,0,0,48,187,0,7,60,0,,,Toledo
2008,6,Donald Thomas,195,G,2013,0,0,1,16,45,0,0,0,0,0,,,0,,,0,,,Connecticut
2008,6,Lex Hilliard,204,RB,2012,0,0,1,3,62,0,0,0,0,0,48,163,2,30,233,2,,,Montana
2008,7,Lionel Dotson,245,DT,2011,0,0,0,0,12,0,0,0,0,0,,,0,,,0,,,Arizona
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2007,1,Ted Ginn Jr.,9,WR,2020,0,0,7,52,193,1,1,10,0,0,68,486,2,412,5742,33,,,Ohio St.
2007,2,John Beck,40,QB,2011,0,0,0,4,9,140,239,1417,3,7,19,55,3,,,0,,,BYU
2007,2,Samson Satele,60,C,2014,0,0,8,48,118,0,0,0,0,0,1,0,0,1,-3,0,,,Hawaii
2007,3,Lorenzo Booker,71,RB,2011,0,0,0,4,36,0,0,0,0,0,61,230,0,47,362,0,,,Florida St.
2007,4,Paul Soliai,108,DT,2016,0,1,6,41,138,0,0,0,0,0,,,0,,,0,,5.5,Utah
2007,6,Reagan Maui'a,181,RB,2012,0,0,1,0,39,0,0,0,0,0,4,5,0,6,44,0,,,Hawaii
2007,6,Drew Mormino,199,C,,0,0,0,,,,,,,,,,,,,,,,Central Michigan
